iter	Accuracy	MultiClass
218	1	0.2369307476
219	1	0.2366048917
220	1	0.2362283493
221	1	0.2350271136
222	1	0.2343698126
223	1	0.2339610792
224	1	0.2331152539
225	1	0.2325549442
226	1	0.2318770283
227	1	0.2312125977
228	1	0.2305605827
229	1	0.2296224173
230	1	0.228924591
231	1	0.2278023808
232	1	0.2273681768
233	1	0.2268171423
234	1	0.225408933
235	1	0.2247362738
236	1	0.2236927689
237	1	0.2229731234
238	1	0.2222210296
239	1	0.221606967
240	1	0.2212531951
241	1	0.2207420157
242	1	0.219987129
243	1	0.2189858925
244	1	0.2183042816
245	1	0.2174327233
246	1	0.2162401067
247	1	0.2155525107
248	1	0.2152407066
249	1	0.2148070649
250	1	0.2144689444
251	1	0.2135728259
252	1	0.2124844221
253	1	0.2121502806
254	1	0.2115254133
255	1	0.2106601582
256	1	0.2095726733
257	1	0.2088753492
258	1	0.2081196329
259	1	0.2076126926
260	1	0.2072749808
261	1	0.2066411907
262	1	0.2060511169
263	1	0.2052219458
264	1	0.2035953769
265	1	0.2031454508
266	1	0.2024971159
267	1	0.2018087125
268	1	0.2014048777
269	1	0.2008016101
270	1	0.2001336021
271	1	0.1998589344
272	1	0.1992371268
273	1	0.1987948022
274	1	0.1974772239
275	1	0.1967005409
276	1	0.1961960794
277	1	0.1957350559
278	1	0.195383693
279	1	0.194831592
280	1	0.1938685004
281	1	0.1934796771
282	1	0.1931574311
283	1	0.1926564746
284	1	0.1920175122
285	1	0.1901151618
286	1	0.1897493728
287	1	0.1896015183
288	1	0.1887400044
289	1	0.1884035728
290	1	0.1880513625
291	1	0.1873194826
292	1	0.1856655483
293	1	0.1851641994
294	1	0.1850734141
295	1	0.1843763445
296	1	0.1838303917
297	1	0.1832419838
298	1	0.1828671202
299	1	0.1820983076
300	1	0.1813802158
301	1	0.1807745387
302	1	0.1804782854
303	1	0.1798588428
304	1	0.1789050145
305	1	0.1784632534
306	1	0.1776768594
307	1	0.1774847749
308	1	0.1770869986
309	1	0.1766598996
310	1	0.1759470489
311	1	0.1753649797
312	1	0.1748979092
313	1	0.1743179737
314	1	0.1740647885
315	1	0.1737654416
316	1	0.1731713665
317	1	0.1726468177
318	1	0.1717646972
319	1	0.1712473666
320	1	0.1701167832
321	1	0.1697051471
322	1	0.1688797277
323	1	0.1682649679
324	1	0.1679366924
325	1	0.1676706522
326	1	0.1672989393
327	1	0.1668372601
328	1	0.1660378677
329	1	0.16529848
330	1	0.1649647164
